name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
NVIC0118,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CCCC(O)(C)C)C)C)C1)C,402.349780712,2,2,5,6.5036000000000085,40.46
NVIC0119,[O-]C(=O)C(CC(=O)[O-])(CC(=O)[O-])O.[67Ga+3],255.93172920000004,1,7,5,-5.633399999999999,140.61999999999998
NVIC0120,Clc1cc(Cl)c2c(c1)[nH]c(=O)c(c2O)SCCCc1cncnc1,381.0105530160001,2,5,5,4.055400000000002,78.87
NVIC0121,C[C@@H](C[C@H](/C(=C/C(=O)[C@H](C[C@H](C[C@@H](CCC(=O)O)C)C)C)/O)C)C/C=C/[C@H]([C@H]([C@H]([C@H](C[C@@H]1CC[C@@](O1)(C)[C@H]1CC[C@@](O1)(C)[C@H](O)C)O)C)O)C,708.517633884,5,8,22,7.799600000000011,153.75
NVIC0122,O=C1CN(C(=O)N1)/N=C/c1ccc(o1)c1ccc(cc1)[N+](=O)[O-],314.06511942,1,6,4,1.7404999999999997,118.05000000000001
NVIC0123,COc1c(OC)cc2c3c1Oc1cc4c(cc1OC)CCN([C@H]4Cc1ccc(Oc4cc(C[C@@H]3N(CC2)C)ccc4OC)cc1)C,622.304287064,0,8,4,7.162400000000009,61.86
NVIC0124,C=CCc1cccc2c1oc(=O)c(c2)C(=O)Nc1ccccc1C(=O)O,349.09502258,2,4,5,3.4720000000000013,96.61
NVIC0125,CCNc1nc(nc(n1)N(CC(=O)OC)C#N)NC(C)(C)C,307.175672912,2,9,6,0.9742799999999996,116.06
NVIC0126,Cc1ccc(cc1)n1c2CC(C)(C)CC(=O)c2cc(c1=O)C(=O)N1CCOCC1,394.18925731199994,0,5,2,2.7734200000000007,68.61
NVIC0127,O1CCN(CC1)c1nc(N/N=C/c2cccnc2)nc(n1)Nc1ccccc1,376.17600726,2,9,6,2.2927999999999997,100.45
