name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
32Pathogen_box,COc1ccccc1OCCCCn1c(nc2ccccc12)C1CC1,336.183778008,0.0,4.0,8.0,4.781500000000004,36.28
33Pathogen_box,Clc1ccc(s1)C(=O)Nc1oc(nn1)c1ccc(Cl)s1,344.92002376000005,1.0,6.0,3.0,4.418699999999999,68.02000000000001
34Pathogen_box,Cc1ccc2oc(nc2c1)c1cc(NC(=O)Cc2ccccc2)ccc1Cl,376.097855464,1.0,3.0,4.0,5.637820000000002,55.13
35Pathogen_box,O=C(N1CCN(Cc2ccc3OCOc3c2)CC1)c1oc2ccccc2c1,364.14230712,0.0,5.0,3.0,3.119500000000002,55.150000000000006
36Pathogen_box,Cc1nn(Cc2ccccc2)c(Cl)c1C(=O)NC1CCCCCC1,345.160790068,1.0,3.0,4.0,4.345820000000003,46.92
37Pathogen_box,Cc1nnc(NCc2cccc(Cl)c2)c2ccccc12,283.08762512799996,1.0,3.0,3.0,4.203720000000002,37.81
38Pathogen_box,NC(=O)c1cc(ccc1OCCOc1ccccc1)c1ccsc1,339.092914404,1.0,4.0,7.0,3.9718000000000027,61.55000000000001
39Pathogen_box,COc1ccc(Cn2cnc3c(nc(Cl)nc23)c2occc2)cc1,340.072703336,0.0,6.0,4.0,3.7966000000000024,65.97
40Pathogen_box,COc1ccc2nc(C)cc(OCC(=O)Nc3ccccc3OC)c2c1,352.14230712,1.0,5.0,6.0,3.5779200000000024,69.68
41Pathogen_box,CC(=CCC/C(=C\CNCCNC1C2CC3CC(CC1C3)C2)/C)C,330.303499216,2.0,2.0,9.0,4.683000000000004,24.06
42Pathogen_box,FC(F)(F)c1nc2ccccn2c1C(=O)NCc1cc(Cl)cc(Cl)c1,387.01530196,1.0,3.0,3.0,4.589900000000002,46.400000000000006
43Pathogen_box,CCCCOC(=O)Nc1cc2nc(nc2cc1N1CCCC1)C1CCCCC1,,,,,,
44Pathogen_box,Cc1cc(NCCc2ccccc2)nc(NC(=N)Nc2ccc(Cl)cc2)n1,380.151622352,4.0,4.0,6.0,4.551790000000002,85.72
45Pathogen_box,CNc1snc(C)c1C(=O)NCCOc1ccc(OC)cc1,321.114712468,2.0,6.0,7.0,2.31062,72.48
46Pathogen_box,CCC(Sc1oc2ccccc2n1)C(=O)Nc1nccs1,319.04491865600005,1.0,6.0,5.0,3.793700000000002,68.02000000000001
47Pathogen_box,Brc1c(nc2ncccn12)c1ccc2OCOc2c1,316.97998859599994,0.0,5.0,1.0,2.8875,48.650000000000006
48Pathogen_box,COc1cccc(OCC(=O)c2ccc(Br)cc2)c1,320.00480637600003,0.0,3.0,5.0,3.719400000000003,35.53
49Pathogen_box,Fc1ccccc1c1oc(NCCc2ccccc2)c(n1)C#N,307.11209028800005,1.0,4.0,5.0,4.006980000000003,61.85
50Pathogen_box,O=C(N1CCN(Cc2ccc3OCOc3c2)CC1)c1nnc2CCCCc12,,,,,,
51Pathogen_box,Fc1cccc(OCC(=O)Nc2nc(cs2)c2ccccn2)c1,329.06342584400005,1.0,5.0,5.0,3.3617000000000017,64.11
52Pathogen_box,CC(Oc1ccccc1)C(=O)Nc1nc(cs1)c1ccccn1,325.0884977200001,1.0,5.0,5.0,3.611100000000002,64.11
53Pathogen_box,Clc1ccc(cc1)S(=O)(=O)c1oc(nc1C#N)c1ccccc1,344.002240828,0.0,5.0,3.0,3.699480000000002,83.96000000000001
54Pathogen_box,Cc1ccc(NC(=O)CC2COc3ccccc3O2)cc1Cl,317.081871052,1.0,3.0,3.0,3.817020000000003,47.56
55Pathogen_box,Cc1ccc2nc(Cl)c(CNCc3cccs3)cc2c1,302.06444716000004,1.0,3.0,4.0,4.547920000000003,24.92
56Pathogen_box,O=C(NC1CCCCC1)N1CCN(Cc2ccc3OCOc3c2)CC1,345.205241724,1.0,4.0,3.0,2.5752000000000006,54.040000000000006
57Pathogen_box,CCOC(=O)c1cc(on1)c1csc(Nc2c(C)cc(C)cc2C)n1,357.11471246800005,1.0,7.0,5.0,4.643660000000003,77.25
58Pathogen_box,CCC(C)NC(=O)c1ccc(NC(=O)C2(CCCC2)c2ccccc2)cc1,364.215078136,2.0,2.0,6.0,4.6654000000000035,58.2
59Pathogen_box,CCOc1ccc(OCC(=O)Nc2cc(C)cc(C)c2)cc1,299.152143532,1.0,3.0,6.0,3.7196400000000027,47.56
60Pathogen_box,COc1ccc(cc1)C1(CCCC1)C(=O)Nc1ccc(Br)cc1,373.06774098,1.0,2.0,4.0,4.908200000000004,38.33
