name,smiles
231-avr-enamine,Cc1nnc(NC(=O)NC2CCCC2)s1
232-avr-enamine,OC(=O)c1ncc(Cl)c(N2CCOCC2)c1Cl
233-avr-enamine,COCCn1nc(ccc1=O)C(=O)NC1CC1
234-avr-enamine,COCCn1nc(ccc1=O)C(=O)N1CCCC1C(=O)O
235-avr-enamine,CCOCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCCCC1
236-avr-enamine,Cc1cc(C)n(CC(=O)NCC(=O)N2CCCCC2)n1
237-avr-enamine,O=C(NCC1CCS(=O)(=O)C1)Nc1cn[nH]c1
238-avr-enamine,O=C(NC1CCCCNC1=O)Nc1nnc(s1)C1CC1
239-avr-enamine,O=C(NCCc1ccccn1)C1CCOCC1
240-avr-enamine,CC(Cn1cccn1)NCC(=O)N1CCNC(=O)C1
241-avr-enamine,CC(=O)N1CCN(CCNC(=O)Nc2ccccn2)CC1
242-avr-enamine,CC(CN1CCOCC1)NC(=O)Nc1cc(C)nn1C
243-avr-enamine,CC(Cn1ccnc1)NC(=O)NCC1CCOC1
244-avr-enamine,Cc1cc(NC(=O)NCCN2CCCCCC2=O)n(C)n1
245-avr-enamine,CN1CCC(CC1)NC(=O)Nc1cccnc1
246-avr-enamine,OCc1nc2ccccc2n1CC(O)c1ccc(F)cc1F
247-avr-enamine,OC1(CNC(=O)Nc2ccncc2)CCCC1
248-avr-enamine,CC(NCC(=O)NC1CCOCC1)C(C)n1cccn1
249-avr-enamine,Cc1cnc(NC(=O)NCC2CCCO2)s1
250-avr-enamine,OC1(CNC(=O)Nc2ccncc2)CCCCC1
251-avr-enamine,O=C(NC1CCN(CC2CCCC2)CC1)Nc1cccnc1
252-avr-enamine,CC(C)Cc1nc(C)sc1NC(=O)NC1(C)CCOC1
253-avr-enamine,Cc1cc(C)n(CCNC(C)(CO)C2CCCCC2)n1
254-avr-enamine,CC1CCC(CC1)NC(=O)Cn1ccc(n1)C(F)(F)F
255-avr-enamine,CC(C)C(NC(=O)C)C(=O)Nc1ccc(cn1)N1CCOCC1
256-avr-enamine,O=C(Cn1ccc(=O)[nH]c1=O)NC1CCCCNC1=O
257-avr-enamine,COCc1nc2ccccc2n1CC(O)COc1ccccc1C
