NVIC_id,SMILES,BBB,OATP1B1_inhibitor,OATP1B3_inhibitor,OATP2B1_inhibitor,OCT1_inhibitor,OCT2_inhibitor,BCRP_inhibitor,BSEP_inhibitor,MATE1_inhibitor,Pgp_inhibitor,Pgp_substrate,PPB,VDss
NVIC0072,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1,0.22216981649398804,0.5145995616912842,0.5517295002937317,0.5092775225639343,0.3359336256980896,0.11598966270685196,0.7615998387336731,0.8928412795066833,0.1360233873128891,0.4861702024936676,0.8243547677993774,0.8248833417892456,0.05515765771
NVIC0073,CCn1cc(C(=O)NCc2ccc(Cl)cc2)c(=O)c2ccc(C(F)(F)F)cc21,0.9579899311065674,0.9035654664039612,0.8789206147193909,0.25837674736976624,0.59732586145401,0.25894665718078613,0.32825830578804016,0.9829245209693909,0.1993083953857422,0.9562239050865173,0.23371043801307678,0.9811078310012817,-0.06022134796
NVIC0074,NC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3C2CC2)CC1,0.6670194268226624,0.771470844745636,0.715985119342804,0.36537832021713257,0.4735194444656372,0.21233300864696503,0.36524519324302673,0.979482114315033,0.2805148661136627,0.9669013619422913,0.6494477987289429,0.9437506198883057,0.2384388447
NVIC0075,CCOC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3CC)CC1,0.6259388327598572,0.7135610580444336,0.6130111217498779,0.43042677640914917,0.4571624994277954,0.2136494517326355,0.3997054696083069,0.9817837476730347,0.3052925765514374,0.9735981225967407,0.6251300573348999,0.9553096294403076,0.2565110624
NVIC0076,CCOC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3CC)CC1,0.4953821897506714,0.6517677307128906,0.568214476108551,0.46563440561294556,0.37672337889671326,0.18204614520072937,0.42857542634010315,0.9800266623497009,0.2853570580482483,0.972606897354126,0.5383927226066589,0.9868104457855225,-0.04373181239
NVIC0077,CCOC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3C2CC2)CC1,0.4891979396343231,0.654166042804718,0.5590732097625732,0.47647395730018616,0.41005563735961914,0.2009100317955017,0.39991915225982666,0.9834274053573608,0.3326081931591034,0.9784204363822937,0.5370501279830933,0.9878321886062622,-0.01147856191
NVIC0078,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,0.5652921199798584,0.9216962456703186,0.9745373725891113,0.11644759774208069,0.07476192712783813,0.03203888610005379,0.061408381909132004,0.0836978629231453,0.05369296297430992,0.042786676436662674,0.28902801871299744,0.3361077606678009,-0.1373843253
NVIC0079,CCCCCCCC/C=C\CCCCCCCC(=O)O,0.825804591178894,0.8350047469139099,0.8529031872749329,0.47312870621681213,0.3589158356189728,0.114038847386837,0.4888400137424469,0.7288969159126282,0.07363024353981018,0.48033374547958374,0.015171441249549389,1.0605392456054688,-0.4021162689
NVIC0080,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@@H](OC(=O)CCC)C[C@](C)(OC(C)=O)[C@H]2[C@@H]1OC(=O)CCCCCCC,0.16502191126346588,0.37694594264030457,0.3974376320838928,0.4998416304588318,0.2949438691139221,0.20851705968379974,0.6019636392593384,0.9227736592292786,0.2503882348537445,0.9648512601852417,0.8257308006286621,0.8886492252349854,1.0390836
NVIC0081,Nc1ncnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[nH]nc12,0.6039423942565918,0.9789546132087708,0.9907779693603516,0.08514457195997238,0.04130939021706581,0.02120766043663025,0.019255585968494415,0.018917523324489594,0.03320598229765892,0.009209130890667439,0.23736204206943512,-0.04570832849,-0.3233496547
NVIC0082,C[C@@H](NC(=O)C(=O)c1ccc(C2CCCCC2)cc1)C(C)(C)C,0.963668167591095,0.9121994376182556,0.9095461964607239,0.2084975689649582,0.5362731218338013,0.18248233199119568,0.2778877019882202,0.9701162576675415,0.10791895538568497,0.9180458188056946,0.1287631243467331,1.0183457136154175,0.08296212554
NVIC0083,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0.9201428890228271,0.9180442094802856,0.9486746191978455,0.11757318675518036,0.44206538796424866,0.3341773450374603,0.15656617283821106,0.9219617247581482,0.17744936048984528,0.8993290662765503,0.3301994502544403,0.9071824550628662,0.1818728298
NVIC0084,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.8690506815910339,0.8387904167175293,0.8455628752708435,0.4028139114379883,0.8251304626464844,0.3793107271194458,0.8471163511276245,0.9519456624984741,0.24330250918865204,0.8078221082687378,0.43992745876312256,1.0301103591918945,0.9265841842
NVIC0085,C#Cc1c(C(N)=O)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.46837273240089417,0.9311031103134155,0.9791916012763977,0.09669306874275208,0.06795764714479446,0.03471355140209198,0.05289161205291748,0.038376688957214355,0.059151310473680496,0.030699778348207474,0.24680866301059723,0.11289691925048828,-0.1647677571
NVIC0086,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,0.5697697997093201,0.9354124069213867,0.9725536704063416,0.11959359049797058,0.08107753098011017,0.03593314811587334,0.05502483993768692,0.07228688150644302,0.06142856553196907,0.0323825366795063,0.2957550585269928,0.13737119734287262,-0.1123191416
NVIC0087,CCCCCCCCc1[nH]c2cccc3c2c1C[C@@H](CO)NC(=O)[C@H](C(C)C)N3C,0.7195889353752136,0.7928810715675354,0.8041200637817383,0.25817397236824036,0.5525997877120972,0.2611433267593384,0.6590558886528015,0.9596102833747864,0.261657178401947,0.9639241695404053,0.8027575016021729,0.9527750015258789,0.08784963191
NVIC0088,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,0.7830651998519897,0.5665344595909119,0.6477462649345398,0.30162137746810913,0.33216923475265503,0.1965773105621338,0.5174528956413269,0.9644739031791687,0.14962856471538544,0.9400255084037781,0.36218053102493286,0.9290169477462769,-0.568841517
NVIC0089,COc1ccc(P(=S)(S)N2CCOCC2)cc1,0.9143904447555542,0.9748281836509705,0.991133987903595,0.07501640170812607,0.13418486714363098,0.07322553545236588,0.13919252157211304,0.2789371907711029,0.045746684074401855,0.10955038666725159,0.10334055125713348,0.8086831569671631,-0.1487814635
