NVIC_id,SMILES,CYP1A2_inhibitor,CYP3A4_inhibitor,CYP2B6_inhibitor,CYP2C9_inhibitor,CYP2C19_inhibitor,CYP2D6_inhibitor,CYP1A2_substrate,CYP3A4_substrate,CYP2B6_substrate,CYP2C9_substrate,CYP2C19_substrate,CYP2D6_substrate,HLM,RLM,UGT_substrate
NVIC0046,Cn1c(=O)cc(-c2cccc(Cl)c2)c2cc(Cn3cncc3C(O)c3ccc(C#N)cc3)ccc21,0.5569561123847961,0.9440378546714783,0.4892529547214508,0.9453964829444885,0.9347729682922363,0.3342682123,0.6928005814552307,0.8521104454994202,0.3584824204444885,0.5306359529495239,0.7344286441802979,0.3190017342567444,0.8135783076286316,0.8384305834770203,0.2666347026824951
NVIC0047,CN1CCC[C@@H]1CCOC(COC(=O)/C=C/C(=O)O)(c1ccccc1)c1ccc(Cl)cc1,0.19444401562213898,0.11269349604845047,0.18504926562309265,0.09061266481876373,0.109257273375988,0.5390586257,0.32074183225631714,0.39859849214553833,0.19812871515750885,0.25066885352134705,0.3629090487957001,0.3034314811229706,0.04589180275797844,0.1541118323802948,0.9097512364387512
NVIC0048,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,0.8657477498054504,0.20610103011131287,0.7285086512565613,0.8021323084831238,0.8771034479141235,0.496521771,0.2877649664878845,0.2402338683605194,0.5488660335540771,0.19127780199050903,0.1505996584892273,0.18818584084510803,0.49267178773880005,0.782234251499176,0.8441934585571289
NVIC0049,[Fe],0.06420537084341049,0.005137319676578045,0.5721958875656128,0.036120448261499405,0.05322406813502312,0.05998457223,0.4121888279914856,0.10657437145709991,0.71232670545578,0.18845820426940918,0.2213105857372284,0.3595842719078064,0.10932460427284241,0.28719156980514526,0.08817585557699203
NVIC0050,Cc1cccc(Cc2nn(C(C)(C)C)c3ncnc(N)c23)c1,0.7800008654594421,0.37216705083847046,0.3537413775920868,0.43418461084365845,0.7130761742591858,0.09014288336,0.44405531883239746,0.4210506081581116,0.7901657223701477,0.17626211047172546,0.41207557916641235,0.1669996976852417,0.6707403063774109,0.9004287719726562,0.24613425135612488
NVIC0051,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.22271952033042908,0.031889475882053375,0.11892114579677582,0.019529171288013458,0.02498452365398407,0.02554489672,0.787508487701416,0.5527862906455994,0.724334180355072,0.39869585633277893,0.8249525427818298,0.5122107267379761,0.045232802629470825,0.06035618856549263,0.12928269803524017
NVIC0052,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.03843973949551582,0.5644915103912354,0.40064510703086853,0.10957206785678864,0.14767324924468994,0.7579885721,0.6108002662658691,0.895735502243042,0.7906614542007446,0.40691477060317993,0.7767046093940735,0.7418192028999329,0.7094380259513855,0.8105060458183289,0.22119729220867157
NVIC0053,CN(C)S(=O)(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1cccs1,0.6177914142608643,0.5974258184432983,0.42332878708839417,0.7585465312004089,0.8708544373512268,0.1375558972,0.7066007256507874,0.6983147263526917,0.6827498078346252,0.5816899538040161,0.7722069025039673,0.25924357771873474,0.7054130434989929,0.7755855321884155,0.10846547782421112
NVIC0054,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5765530467033386,0.15356001257896423,0.6164131164550781,0.026394154876470566,0.0775049552321434,0.8855752349,0.764559268951416,0.6049550771713257,0.8348348140716553,0.20912830531597137,0.6616932153701782,0.7662366032600403,0.2203843593597412,0.5793419480323792,0.34256160259246826
NVIC0056,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O,0.021279791370034218,0.03220508247613907,0.5324562788009644,0.14948350191116333,0.06290199607610703,0.1252724379,0.5081628561019897,0.9218628406524658,0.7759145498275757,0.3898696005344391,0.7130097150802612,0.49804145097732544,0.5239728093147278,0.5679332613945007,0.1092366948723793
NVIC0057,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0.9728887677192688,0.9198920726776123,0.8079633116722107,0.9358140230178833,0.98809415102005,0.8387557268,0.6537384390830994,0.5818513035774231,0.6697795987129211,0.537261426448822,0.534972071647644,0.32453885674476624,0.6830206513404846,0.9147745370864868,0.3754214644432068
NVIC0058,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0.31358155608177185,0.032572317868471146,0.2894536256790161,0.08814747631549835,0.10531441867351532,0.1493422389,0.31928887963294983,0.6369270086288452,0.17270387709140778,0.10294773429632187,0.1551152467727661,0.16929498314857483,0.2317899465560913,0.3890414535999298,0.6982196569442749
NVIC0059,O=C(O)c1ccc2c(=O)c(C(=O)O)c[nH]c2c1,0.07501047849655151,0.0031584168318659067,0.09285113215446472,0.016959112137556076,0.01627717725932598,0.02087411098,0.006574316415935755,0.009262703359127045,0.043077826499938965,0.018105730414390564,0.0041978321969509125,0.004628232680261135,0.015597084537148476,0.04241742193698883,0.9218413829803467
NVIC0060,Cc1cc(-c2ccc(N3C(=O)CC4(CCCC4)C3=O)c(C)c2)ccc1N1C(=O)CC2(CCCC2)C1=O,0.14709769189357758,0.20216797292232513,0.45871883630752563,0.5116176009178162,0.46181759238243103,0.1085563675,0.4281282126903534,0.8095434904098511,0.4918261170387268,0.5418777465820312,0.652493953704834,0.17073552310466766,0.43849870562553406,0.6399143934249878,0.4394311010837555
NVIC0061,NCC1(CC(=O)O)CCCCC1,0.014314030297100544,0.007824631407856941,0.03890067711472511,0.009914386086165905,0.03288877010345459,0.03479345143,0.009258408099412918,0.014536398462951183,0.05831548571586609,0.014465706422924995,0.012694940902292728,0.014818437397480011,0.011255317367613316,0.030221523717045784,0.8946638703346252
NVIC0062,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0.7723245620727539,0.6166843771934509,0.6052749156951904,0.28314581513404846,0.7735115885734558,0.632609427,0.36956897377967834,0.2578757703304291,0.18185563385486603,0.16779281198978424,0.09886466711759567,0.24919089674949646,0.47392547130584717,0.7142451405525208,0.6104885935783386
NVIC0063,Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(C)c8c1c2c(c34)c(c65)c78,0.7103717923164368,0.1361442357301712,0.36548757553100586,0.32998329401016235,0.24807427823543549,0.3955492675,0.05789315700531006,0.055469974875450134,0.04080931842327118,0.03411814570426941,0.008777668699622154,0.01882752776145935,0.18896877765655518,0.23229491710662842,0.9513582587242126
NVIC0064,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.002928776666522026,0.04089305177330971,0.04773033410310745,0.03290119767189026,0.05501525476574898,0.02675534226,0.010345708578824997,0.048469219356775284,0.02445838786661625,0.0276456568390131,0.014993755146861076,0.01448406558483839,0.17715002596378326,0.25743368268013,0.8943527936935425
NVIC0065,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0.008376733399927616,0.005535429809242487,0.10997539013624191,0.0031754919327795506,0.006058713421225548,0.01299173851,0.07174087315797806,0.08772875368595123,0.11754284799098969,0.06329198181629181,0.07557131350040436,0.049799345433712006,0.03522883728146553,0.05182654410600662,0.6004239916801453
NVIC0066,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.01252034306526184,0.01997143216431141,0.10219291597604752,0.022838640958070755,0.022660398855805397,0.01601491682,0.3083728849887848,0.5492802858352661,0.2027001529932022,0.2840239703655243,0.40958940982818604,0.1771007925271988,0.2392217367887497,0.29547715187072754,0.5369741320610046
NVIC0067,O=C(Nc1cccc2ccccc12)c1c(NC(=O)C(F)(F)F)sc2c1CCCC2,0.9070191979408264,0.7335063815116882,0.6833656430244446,0.9245954751968384,0.9382637739181519,0.2810340524,0.6131758689880371,0.5040395855903625,0.4002063274383545,0.586097002029419,0.5685383081436157,0.27097630500793457,0.374106228351593,0.6993891596794128,0.6076080799102783
NVIC0068,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,0.003993436694145203,0.014549287967383862,0.09799899160861969,0.006047129165381193,0.016514912247657776,0.04533264786,0.033052582293748856,0.11462973803281784,0.04017164558172226,0.019657237455248833,0.01867205649614334,0.02910626120865345,0.11177411675453186,0.07793397456407547,0.5808968544006348
NVIC0069,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.060775429010391235,0.007667485624551773,0.07722313702106476,0.0025209756568074226,0.0032808149699121714,0.004070518538,0.2656603157520294,0.1682833433151245,0.20214733481407166,0.08472704887390137,0.20150116086006165,0.06075887009501457,0.026225097477436066,0.03209717199206352,0.49406376481056213
