NVIC_id,SMILES,logS,logP,pKa,Acidic_pKa,Basic_pKa,Caco_2_c,Caco_2,HIA,MDCK,F50,F30,F20
NVIC0021,COc1ccc(/C=C2/SC(=N)NC2=O)cc1O,-1.828461647,0.9064029455184937,7.542522430419922,7.431354522705078,6.376530170440674,0.7361916303634644,-4.928256989,0.9698309302330017,0.4331054389476776,0.8389876485,0.9337465167045593,0.961944043636322
NVIC0022,C[C@@H]1N[C@@H]2N(C1=O)c1ccccc1[C@@]21C[C@H]2n3c(nc4ccccc4c3=O)C(=O)C(C)(C)[C@@]2(O)O1,-5.332090855,2.0246071815490723,6.419311046600342,6.584493160247803,5.68574857711792,0.08113446086645126,-5.972756386,0.7419005632400513,0.2654294967651367,0.1547838449,0.3558908700942993,0.522713303565979
NVIC0023,CC1(C)C=Cc2cc3c(cc2O1)NC(=O)[C@]31C[C@@]23NC(=O)[C@]4(CCCN4C2=O)C[C@@H]3C1(C)C,-4.712419987,2.507467746734619,5.003246784210205,4.898895740509033,6.6463212966918945,0.8154325485229492,-4.687562943,0.9545774459838867,0.5256876945495605,0.7126201391,0.9143503904342651,0.9384021759033203
NVIC0024,O=C(O)[C@H]1O[C@@H](Oc2c(O)cc(O)c3c(=O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(-c4ccc(O)c(O)c4)oc23)[C@H](O)[C@@H](O)[C@@H]1O,-1.609597087,-1.83026135,7.855410575866699,8.140731811523438,7.077418804168701,0.003820322221145034,-6.852052689,0.2070551961660385,0.19476790726184845,0.06239388883,0.1149284690618515,0.18969739973545074
NVIC0025,CN(C(=O)COc1cccc2c1OC(C)(C)C2)c1nc2c(s1)CCCC2,-5.304226398,4.28895378112793,6.406981468200684,7.697068691253662,5.306924819946289,0.9738784432411194,-4.427380562,0.9942498207092285,0.8100205063819885,0.5276842713,0.7180081009864807,0.7956506013870239
NVIC0026,O=C(O)c1cc(-c2ccc(/C=C3\SC(=S)N(CCc4ccc(OCC5CC5)cc4)C3=O)o2)ccc1Cl,-7.119614601,6.352128505706787,4.0665283203125,3.7736237049102783,3.6418137550354004,0.3498406708240509,-5.073280334,0.96865314245224,0.41110917925834656,0.7999754548,0.9231623411178589,0.9604586958885193
NVIC0027,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(C[N+]2([O-])C1)N(C)C3=O)C(=O)Nc1c5ccc2c1C(=O)CC(C)(C)O2,-3.704402447,1.9345475435256958,5.730885982513428,5.727766513824463,7.314085006713867,0.7085141539573669,-5.042808533,0.8421379923820496,0.7007339596748352,0.107670106,0.20732320845127106,0.2955150902271271
NVIC0028,OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,0.788226842880249,-3.579190254,4.96757173538208,4.664124965667725,5.721392631530762,0.011823534034192562,-6.200047493,0.09360116720199585,0.3903874456882477,0.3167751729,0.31692925095558167,0.3824065029621124
NVIC0029,NCCOB(c1ccccc1)c1ccccc1,-2.10579443,2.8210082054138184,9.653207778930664,10.080604553222656,9.519271850585938,0.9055155515670776,-4.360743046,0.9850742816925049,0.39045214653015137,0.8037363291,0.9014115333557129,0.9499770402908325
NVIC0030,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,-5.579973698,4.642430305480957,8.678226470947266,9.020883560180664,7.501903057098389,0.9363241791725159,-4.670824051,0.9886544942855835,0.5745161771774292,0.4956724644,0.6609418988227844,0.7981014251708984
NVIC0031,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,-1.634543657,-1.178830028,6.005712032318115,6.305039882659912,6.326922416687012,0.29471635818481445,-5.504723072,0.9039341807365417,0.5752129554748535,0.9162752628,0.9637873768806458,0.9748411178588867
NVIC0032,CCCCN(CCCNC(=O)OC(C)(C)C)C(=O)c1ccc(OC)c(OC)c1,-4.097566605,3.9766464233398438,5.219606399536133,7.220462799072266,5.670230865478516,0.8730759620666504,-4.713238239,0.9743807911872864,0.8362710475921631,0.2115583867,0.2544693350791931,0.3381985127925873
NVIC0033,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(Br)ccc3OC(C)=O)c(=O)n2C1c1ccccc1,-6.653500557,5.76267671585083,4.8497443199157715,4.838351726531982,3.25777530670166,0.6438868641853333,-4.506633759,0.9501314759254456,0.577502965927124,0.2989617884,0.4055113196372986,0.528858482837677
NVIC0034,O=S(=O)(Nc1ccc(-n2cnnn2)cc1)C1=Cc2ccccc2CC1,-4.686570168,3.050899028778076,7.320802211761475,7.241693019866943,2.927368640899658,0.2624024748802185,-5.534276009,0.9632360339164734,0.5955382585525513,0.5782353282,0.7807386517524719,0.8564993739128113
NVIC0035,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-3.646194935,2.2106704711914062,7.862794876098633,8.08704662322998,2.242854356765747,0.895939290523529,-4.524169445,0.98502117395401,0.6877302527427673,0.960198164,0.9885416030883789,0.9927224516868591
NVIC0036,C[C@@H]1CN(C2=NC(=O)/C(=C/c3cn(-c4ccccc4)nc3-c3cc4ccccc4o3)S2)C[C@@H](C)O1,-7.049458027,5.56863260269165,3.9495415687561035,4.804569721221924,3.3697259426116943,0.6789518594741821,-4.820606232,0.984725296497345,0.5028895735740662,0.8014572859,0.9204030632972717,0.9516761302947998
NVIC0037,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,-2.897172451,1.3703035116195679,5.99827241897583,6.113501071929932,5.889618396759033,0.8930450677871704,-4.577799797,0.9912236928939819,0.628948986530304,0.9302085042,0.9789136648178101,0.9856249690055847
NVIC0038,CSC[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,-2.067033768,-0.1221165061,4.730280876159668,7.964935779571533,3.728756904602051,0.5158621668815613,-5.141824245,0.8797741532325745,0.7597715854644775,0.6054874659,0.7241485714912415,0.8279116749763489
NVIC0039,Nc1ncnc2nc[nH]c12,-1.573343396,-0.3325562477,7.295682430267334,10.891454696655273,3.7205209732055664,0.4644604027271271,-5.032341957,0.9362887740135193,0.6454885601997375,0.7653034329,0.8724674582481384,0.940658688545227
NVIC0040,NC(=O)c1c(/N=c2\oc3cc(O)ccc3cc2C(N)=O)sc2c1CCCC2,-5.035883904,2.894444465637207,8.904831886291504,8.870599746704102,6.0552592277526855,0.602653980255127,-5.001676559,0.9830432534217834,0.4213629961013794,0.6158969998,0.86473548412323,0.9232909679412842
NVIC0041,Cc1ccc(Cn2c(CO)cnc2SCC(=O)N2CCCc3ccccc32)cc1,-5.12645483,3.3145623207092285,4.015321254730225,5.87323522567749,3.3558411598205566,0.6127874255180359,-4.914346695,0.9744680523872375,0.8171931505203247,0.5423077941,0.67726069688797,0.7584138512611389
NVIC0042,Cn1c(=O)c2c(SCC(=O)NCCc3ccccc3)nc(-c3ccco3)nc2n(C)c1=O,-4.461021423,2.509030342102051,5.998837947845459,6.876576900482178,1.6628754138946533,0.8747824430465698,-4.517595768,0.9674779772758484,0.7480267882347107,0.5982162356,0.7828873991966248,0.8513290286064148
NVIC0043,O=C(NCC1CCCO1)C(=O)Nc1c2c(nn1-c1ccc(F)cc1)CSC2,-2.694027901,1.2159647941589355,4.8061442375183105,8.57020378112793,2.658097505569458,0.9006381630897522,-4.702040672,0.9851952791213989,0.8349015116691589,0.9297860861,0.9701212048530579,0.9848451018333435
NVIC0044,O=C(O)c1cc(-c2ccc(/C=C3\SC(=S)N(CCc4ccccc4)C3=O)o2)ccc1Cl,-6.185445786,5.267186164855957,4.039856910705566,3.757333755493164,2.9222354888916016,0.44361159205436707,-4.996137619,0.9750976563,0.5208941698074341,0.8760600686,0.9481934905052185,0.9703282713890076
NVIC0045,O=C(Nc1cccc(-c2ccccc2)c1)N1CCN(C(=O)Nc2cccc(-c3ccccc3)c2)CC1,-5.949297905,4.3506622314453125,9.70645809173584,9.504325866699219,8.632682800292969,0.09889768064022064,-5.935913086,0.8522835969924927,0.16671441495418549,0.1874324232,0.3571661412715912,0.5154736638069153
NVIC0046,Cn1c(=O)cc(-c2cccc(Cl)c2)c2cc(Cn3cncc3C(O)c3ccc(C#N)cc3)ccc21,-5.245587826,3.5333447456359863,4.665706634521484,6.930588245391846,2.2772390842437744,0.3922361135482788,-5.348097801,0.9624246954917908,0.7381461262702942,0.6184731722,0.7649308443069458,0.8121696710586548
NVIC0047,CN1CCC[C@@H]1CCOC(COC(=O)/C=C/C(=O)O)(c1ccccc1)c1ccc(Cl)cc1,-4.109107018,2.817625045776367,8.42573356628418,8.435653686523438,9.09710693359375,0.19070042669773102,-5.614780903,0.9480669498443604,0.1599804013967514,0.5353221297,0.8274021744728088,0.8985083699226379
NVIC0048,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,-3.452242374,4.149722576141357,9.356094360351562,9.447546005249023,7.968337535858154,0.8072779178619385,-4.475132942,0.9433404803276062,0.4909099340438843,0.1690788716,0.18655681610107422,0.28681641817092896
NVIC0049,[Fe],-0.2742959261,0.8306677341461182,11.236703872680664,16.023000717163086,7.699480056762695,0.7678504586219788,-4.644689083,0.797980546951294,0.4275871515274048,0.7627826929,0.7388824820518494,0.9056949019432068
NVIC0050,Cc1cccc(Cc2nn(C(C)(C)C)c3ncnc(N)c23)c1,-4.27294445,3.4427967071533203,5.307414531707764,7.430685043334961,5.027673721313477,0.9786418676376343,-4.622383118,0.9919935464859009,0.811640739440918,0.492328614,0.6999400854110718,0.8072351217269897
NVIC0051,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.3947395086288452,-0.5258302689,1.5748997926712036,4.835811138153076,1.2432098388671875,0.8332597017288208,-3.78591013,0.9265539646148682,0.8680872321128845,0.8453976512,0.8575729727745056,0.9050038456916809
NVIC0052,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,-4.45236969,4.0392560958862305,7.455862998962402,7.858676433563232,7.708756923675537,0.7219306826591492,-4.722348213,0.9540225863456726,0.5847201347351074,0.2020863742,0.3493035137653351,0.5128964185714722
NVIC0053,CN(C)S(=O)(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1cccs1,-3.76869297,2.2194323539733887,4.6555047035217285,4.510809898376465,3.1852123737335205,0.9471762776374817,-4.611883163,0.973753035068512,0.895067572593689,0.6170185208,0.7313603162765503,0.7703261375427246
NVIC0054,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-4.42579174,4.825332164764404,8.233835220336914,8.539876937866211,7.795623302459717,0.7883743047714233,-4.808469772,0.9832079410552979,0.2894827425479889,0.5879462957,0.809065043926239,0.9100201725959778
NVIC0056,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O,-6.731023788,6.707690238952637,5.984762668609619,4.992390155792236,6.165846347808838,0.5324681997299194,-4.888082504,0.8780383467674255,0.2748252749443054,0.2377860099,0.3285927474498749,0.5552234649658203
NVIC0057,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,-5.732011795,4.3727827072143555,6.8137946128845215,8.44769287109375,5.418953895568848,0.8006166815757751,-4.848484039,0.9870015382766724,0.7827914357185364,0.3767246008,0.4860471487045288,0.6275286078453064
NVIC0058,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-2.800616741,0.9257622957229614,3.633509397506714,3.2305514812469482,4.503811359405518,0.10863636434078217,-5.578361988,0.6111100316047668,0.3250359296798706,0.06150871515,0.15010963380336761,0.2139137238264084
NVIC0059,O=C(O)c1ccc2c(=O)c(C(=O)O)c[nH]c2c1,-1.711153388,0.46574902534484863,4.386744022369385,4.284076690673828,4.962737083435059,0.055692993104457855,-6.138782978,0.6869667768478394,0.3558240234851837,0.7475990057,0.8129522800445557,0.8879652619361877
NVIC0060,Cc1cc(-c2ccc(N3C(=O)CC4(CCCC4)C3=O)c(C)c2)ccc1N1C(=O)CC2(CCCC2)C1=O,-6.214357853,4.928220748901367,4.320864200592041,4.211061000823975,4.389777183532715,0.7967619895935059,-4.735490799,0.9690532088279724,0.5098096132278442,0.7403383255,0.9001294374465942,0.9349991679191589
NVIC0061,NCC1(CC(=O)O)CCCCC1,0.06711477041244507,-2.181586742,8.00043773651123,7.271892547607422,9.09078598022461,0.09115725010633469,-5.700937271,0.6593846678733826,0.38327401876449585,0.8612855077,0.9076656699180603,0.9446970224380493
NVIC0062,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,-3.202070236,1.0943211317062378,9.035147666931152,9.688690185546875,9.172764778137207,0.24223220348358154,-5.224327087,0.7375108599662781,0.2764792740345001,0.211817041,0.36281099915504456,0.44232985377311707
NVIC0063,Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(C)c8c1c2c(c34)c(c65)c78,-5.064806938,3.7065019607543945,4.6429548263549805,4.9835896492004395,5.601757049560547,0.010998208075761795,-6.951096058,0.5827551484107971,0.2853051424026489,0.1117243692,0.23678407073020935,0.38249486684799194
NVIC0064,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,-1.16081965,-2.538780689,5.547844409942627,5.00554895401001,7.779610633850098,0.003560870885848999,-6.425415039,0.08684391528367996,0.21543832123279572,0.1033257768,0.1321946680545807,0.1430758535861969
NVIC0065,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,-0.8646598458,-1.402815223,3.022730588912964,2.9084975719451904,2.115609645843506,0.04309654235839844,-5.621353626,0.3969466984272003,0.6084375977516174,0.775102973,0.8142746090888977,0.8489423990249634
NVIC0066,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-3.271690369,0.9231343269348145,5.987983703613281,6.304460525512695,3.863313913345337,0.05974278599023819,-5.635850906,0.7419180870056152,0.5443359017372131,0.14754498,0.26026687026023865,0.3874549865722656
NVIC0067,O=C(Nc1cccc2ccccc12)c1c(NC(=O)C(F)(F)F)sc2c1CCCC2,-5.614682198,4.676398754119873,8.835365295410156,8.67628002166748,6.093505859,0.6679602265357971,-4.835325718,0.9796717762947083,0.4803277552127838,0.7080982924,0.8476940989494324,0.9071545600891113
NVIC0068,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,-1.655343175,-2.305481911,5.391051769256592,5.0840277671813965,6.310765743255615,0.001735340105369687,-6.732992649,0.06316142529249191,0.2991905212402344,0.1572308838,0.12816932797431946,0.13787336647510529
NVIC0069,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,-1.934716344,-0.4264589548,3.745321035385132,6.6530303955078125,3.0018982887268066,0.2916158139705658,-5.316210747,0.8378594517707825,0.7442598342895508,0.7899999619,0.8561537265777588,0.906882107257843
NVIC0070,NC(N)=NCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,-1.605577588,-2.340978146,4.5910868644714355,4.334352016448975,6.165072441101074,0.0011723361676558852,-6.396766663,0.11278113722801208,0.22948335111141205,0.1565184742,0.18841588497161865,0.20719565451145172
NVIC0071,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,-2.997369289,2.5675768852233887,5.245494842529297,5.597652912139893,3.553922653198242,0.6561201810836792,-4.797569752,0.9507050514221191,0.6164451837539673,0.1774561703,0.34397077560424805,0.5029388666152954
NVIC0072,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1,-5.824700356,3.713871955871582,4.5649237632751465,4.296668529510498,5.617934226989746,0.055297210812568665,-5.410611153,0.5846605896949768,0.2113930881023407,0.4693180621,0.6381133198738098,0.6902957558631897
